description,developer,early_access,game_id,orig_price,percent_pos,price,publisher,release_date,tag_list,title,total_reviews,vr_only,vr_pcinput,vr_supported
Survival simulator in 1990's Poland.,Przemysław Hadała,True,1783780,,N/A,$12.49 USD,Przemysław Hadała,"18 Dec, 2024","Simulation,Automobile Sim,Life Sim,Driving,3D,Exploration,Open World,First-Person,Indie,Singleplayer,Early Access,Racing,1990's,Psychological Horror",OHV,2,False,,False
(This game was created as both a proof of concept and game design showcase) A 2D action showcase for players new to video games.,Adam Rodriguez,False,3329040,,N/A,Free To Play,Adam Rodriguez,"20 Nov, 2024","Action,Side Scroller,Singleplayer,Controller,2D Platformer,Adventure,Platformer,Point & Click,Arcade,Action-Adventure,2D,Free to Play,Multiple Endings,Casual,Cartoon,Choose Your Own Adventure",Throw Home,6,False,,False
"MOBA BR MEETS HERO SHOOTER. Jump, glide, shoot, punch, bounce, nuke, spike your enemies in this free-flowing, chaotic battleground in the sky. Face off in all-out, multi-squad teamfights, take down boss monsters for big loot, get that W and run it back.",Theorycraft Games,True,1283700,,90,Free To Play,Theorycraft Games,"20 Nov, 2024","Early Access,Battle Royale,Free to Play,MOBA,Hero Shooter,Team-Based,PvP,Multiplayer,eSports,Tactical,Strategy,Action,Class-Based,Fantasy,Action RPG,Third-Person Shooter,Adventure,Top-Down Shooter,Exploration,Online Co-Op",SUPERVIVE,12227,False,,False
A malfunctioning pinball machine has unexpectedly attracted a bunch of cats! Come and explore the mystery while challenging higher scores with the company of 100 cats!,Catnip studio,False,3330470,,N/A,$1.49 USD,Catnip studio,"20 Nov, 2024","Casual,Shooter,2D,Cute,Colorful,Hand-drawn,Relaxing,Indie,Funny,Physics,Singleplayer,Roguelike,Boomer Shooter,Roguelite",Cats Bounce Ball,5,False,,False
"Explore a dreamy, hand-drawn world where little deep-sea jellies roam. Jellies of the Deep is a relaxing, hidden object and spot-the-difference game in one.",Catloaf Studio,False,3020970,,N/A,$3.59 USD,Catloaf Studio,"20 Nov, 2024","Relaxing,Cute,Casual,Hand-drawn,Puzzle,Hidden Object,Colorful,Cozy,Indie,2D,Atmospheric,Family Friendly,Singleplayer,Point & Click,Wholesome,Nature,Short,Linear,Underwater",Jellies of the Deep,6,False,,False
"A wave-based action game, where you fight to survive for as long as you can.",Method 9 Software,False,1438680,,N/A,$1.99 USD,Method 9 Software,"11 Nov, 2020","Casual,Top-Down,Tower Defense,Difficult,Indie,Action,Top-Down Shooter,Singleplayer,Arcade,Strategy,Retro,Family Friendly,Shoot 'Em Up,PvE,2D,Linear,Colorful,Tactical,Score Attack,Survival",Techno Tower Defense,3,False,,False
"Experience the intensity of one of the most complete sports! With accurately reproduced handball motions, the most lifelike players and tactics management deeply integrated into the gameplay, this is the most realistic handball simulation ever made.",Eko Software,False,891020,,41,$19.99 USD,Eko Software,"12 Nov, 2020","Sports,Management,Realistic,PvP,Modern,Third Person,3D,Real Time Tactics,Singleplayer,Controller,Tactical,PvE,Foreign,Local Multiplayer,Simulation,Multiplayer,Immersive Sim",Handball 21,70,False,,False
"Travel across the galaxy on a zany 3d platforming adventure. As Starshot, the star-juggler of the greatest circus in the universe, you must save the circus from crippling debt by scouring the cosmos for performers to put on the best circus show in history!",Infogrames Europe SA,False,1437040,,66,$5.79 USD,Infogrames Europe SA,"1 Jun, 1999","3D Platformer,Collectathon,Retro,Cartoon,Funny,Sci-fi,3D,Action-Adventure,Third Person,Puzzle Platformer,Exploration,Fighting,Platformer,Action,Arcade,Colorful,Adventure,Robots,Aliens,Singleplayer",Starshot: Space Circus Fever,15,False,,False
"Grilled is an action arcade game which allows the player to eliminate in-game characters using a car. The physics-based, non-scripted interaction between vehicle, characters and environment is the perfect recipe for full in-game freedom!",Andorf Games,True,1417450,,N/A,$2.99 USD,Andorf Games,"23 Dec, 2020","Violent,Gore,Blood,3D Platformer,Driving,PvE,Arcade,Action-Adventure,3D,First-Person,Third Person,Dark Humor,Open World,Action,Casual,Minimalist,Colorful,Physics,Singleplayer,Early Access",Grilled,1,False,,False
Compete in hardcore PvP strategy in persistent game worlds where real time resource and troop management in coordination with other players is required to expand your kingdom from one village to hundreds as you conquer the map in this winner takes all medieval contest.,InnoGames,False,675690,,72,Free To Play,InnoGames,"12 Nov, 2020","Strategy,Massively Multiplayer,Base Building,Real Time Tactics,Team-Based,Resource Management,PvP,Medieval,Perma Death,Tactical,Minimalist,Action,Grand Strategy,Military,2D,Free to Play,Text-Based,Historical,Pirates",Tribal Wars,696,False,,False
